Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),HeartRate (bpm),BloodOxygen (Sp02),BodyTemp (Celcius)
0,1620317742179,24.0,94.0,26.0
1,1620317742180,24.0,94.0,26.0
2,1620317742180,24.0,94.0,26.0
3,1620317742180,24.0,94.0,26.0
4,1620317742180,24.0,94.0,26.0
5,1620317742180,24.0,94.0,26.0
6,1620317742180,24.0,94.0,26.0
7,1620317742180,24.0,94.0,26.0
8,1620317742180,24.0,94.0,26.0
9,1620317742180,24.0,94.0,26.0
10,1620317742181,24.0,94.0,26.0
11,1620317742181,24.0,94.0,26.0
12,1620317742181,24.0,94.0,26.0
13,1620317742181,24.0,94.0,26.0
14,1620317742181,24.0,94.0,26.0
15,1620317742181,24.0,94.0,26.0
16,1620317742181,24.0,94.0,26.0
17,1620317742181,24.0,94.0,26.0
18,1620317742181,24.0,94.0,26.0
19,1620317742181,24.0,94.0,26.0
20,1620317742181,24.0,94.0,26.0
21,1620317742181,24.0,94.0,26.0
22,1620317742181,24.0,94.0,26.0
23,1620317742181,24.0,94.0,26.0
24,1620317742181,24.0,94.0,26.0
25,1620317742181,24.0,94.0,26.0
26,1620317742181,24.0,94.0,26.0
27,1620317742181,24.0,94.0,26.0
28,1620317742181,24.0,94.0,26.0
29,1620317742181,24.0,94.0,26.0
30,1620317742181,24.0,94.0,26.0
31,1620317742181,24.0,94.0,26.0
32,1620317742181,24.0,94.0,26.0
33,1620317742181,24.0,94.0,26.0
34,1620317742181,24.0,94.0,26.0
35,1620317742181,24.0,94.0,26.0
36,1620317742182,24.0,94.0,26.0
37,1620317742182,24.0,94.0,26.0
38,1620317742182,24.0,94.0,26.0
39,1620317742182,24.0,94.0,26.0
40,1620317742182,24.0,94.0,26.0
41,1620317742182,24.0,94.0,26.0
42,1620317742182,24.0,94.0,26.0
43,1620317742182,24.0,94.0,26.0
44,1620317742182,24.0,94.0,26.0
45,1620317742182,24.0,94.0,26.0
46,1620317742182,24.0,94.0,26.0
47,1620317742182,24.0,94.0,26.0
48,1620317742182,24.0,94.0,26.0
49,1620317742182,24.0,94.0,26.0
50,1620317742182,24.0,94.0,26.0
51,1620317742182,24.0,94.0,26.0
52,1620317742182,24.0,94.0,26.0
53,1620317742182,24.0,94.0,26.0
54,1620317742182,24.0,94.0,26.0
55,1620317742182,24.0,94.0,26.0
56,1620317742182,24.0,94.0,26.0
57,1620317742182,24.0,94.0,26.0
58,1620317742182,24.0,94.0,26.0
59,1620317742182,24.0,94.0,26.0
60,1620317742182,24.0,94.0,26.0
61,1620317742182,24.0,94.0,26.0
62,1620317742182,24.0,94.0,26.0
63,1620317742182,24.0,94.0,26.0
64,1620317742183,24.0,94.0,26.0
65,1620317742183,24.0,94.0,26.0
66,1620317742183,24.0,94.0,26.0
67,1620317742183,24.0,94.0,26.0
68,1620317742183,24.0,94.0,26.0
69,1620317742183,24.0,94.0,26.0
70,1620317742183,24.0,94.0,26.0
71,1620317742183,24.0,94.0,26.0
72,1620317742183,24.0,94.0,26.0
73,1620317742183,24.0,94.0,26.0
74,1620317742183,24.0,94.0,26.0
75,1620317742183,24.0,94.0,26.0
76,1620317742183,24.0,94.0,26.0
77,1620317742183,24.0,94.0,26.0
78,1620317742183,24.0,94.0,26.0
79,1620317742183,24.0,94.0,26.0
80,1620317742183,24.0,94.0,26.0
81,1620317742183,24.0,94.0,26.0
82,1620317742183,24.0,94.0,26.0
83,1620317742184,24.0,94.0,26.0
